Company Name,Industry,Symbol,Series,ISIN Code,yfinance_symbol
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,360ONE.NS
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,ABB.NS
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,APLAPOLLO.NS
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,AUBANK.NS
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,ADANIENSOL.NS
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,ADANIENT.NS
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,ADANIGREEN.NS
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,ADANIPORTS.NS
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,ADANIPOWER.NS
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,ATGL.NS
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,ABCAPITAL.NS
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,ALKEM.NS
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,AMBUJACEM.NS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,APOLLOHOSP.NS
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,ASHOKLEY.NS
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,ASIANPAINT.NS
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,ASTRAL.NS
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,AUROPHARMA.NS
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,DMART.NS
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,AXISBANK.NS
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,BSE.NS
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,BAJAJ-AUTO.NS
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,BAJFINANCE.NS
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,BAJAJFINSV.NS
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,BAJAJHLDNG.NS
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,BANKBARODA.NS
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,BANKINDIA.NS
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,BDL.NS
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,BEL.NS
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,BHARATFORG.NS
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,BHEL.NS
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,BPCL.NS
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,BHARTIARTL.NS
Billionbrains Garage Ventures Ltd.,Financial Services,GROWW,EQ,INE0HOQ01053,GROWW.NS
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,BIOCON.NS
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,BLUESTARCO.NS
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,BOSCHLTD.NS
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,BRITANNIA.NS
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,CGPOWER.NS
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,CANBK.NS
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,CHOLAFIN.NS
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,CIPLA.NS
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,COALINDIA.NS
